id,tracker,target,start_date,category,subject,thresholds,images,caption,links,status,end_date,description
62,Data Problems,"AV DLLH[1,6] - HDF",2020-12-09,Completeness,Array wide outages at DLL,"gapsRatioGt12, avgGaps",/home/dq/quarg/quarg_plots/2020_12_7/AV.DLL.01.HDF.D_2020-12-07_percent_availability.png;;;;/home/dq/quarg/quarg_plots/2020_12_7/AV.DLL.03.HDF.D_2020-12-07_percent_availability.png,Outages at DLLH2;;;;Outages at DLLH2,,New,2020-12-13,Similar gaps and outages on all elements.
58,Data Problems,IM FSAH4 I2 HDF,2020-11-30,Amplitudes,Dead Sensor,,/home/dq/quarg/quarg_plots/2020_11_30/FSAH4_I2_PDF.png,Dead sensor at I2,,In Progress,,The sensor at the I2 element died late on 2020-11-30 and remains dead through the end of the reporting period.
7,Data Problems,IM FSAH1 B1 BH?,2020-11-02,Amplitudes,Dead broadband sensor,"lowAmp, dead, flat",/Users/ken/quarg/quarg_plots/FSAH1_PDF.png,,,In Progress,,All 3 channels of the broadband sensor at FSAH1 are not recording ground motions. We have approached Randy about this sensor but it is not resolved. This ticket remains open.
11,Data Problems,IM FSAH8 B1 BH?,2020-11-02,Amplitudes,Dead broadband sensor,"dead, flat",/Users/ken/quarg/quarg_plots/FSAH8_PDF.png,,,In Progress,,"Keeping this ticket open for a dead broadband sensor. Added the 'dead' threshold, based on the 'dead_channel_gsn' metric. Appears to be working properly."
57,Data Problems,IM FSAH2 I2 HDF,2020-11-30,Amplitudes,Dead sensor on the I2 element,,/home/dq/quarg/quarg_plots/2020_11_30/FSAH2_I2_PDF.png,PDF showing dead sensor at I2,,In Progress,,The I2 element appears to have a dead sensor. Problem appears to hace started late on 2020-11-30.
20,Data Problems,IU GUMO 10 BH?,2020-11-02,Metadata,Elevated noise on broadband,"badResp, hiAmp",/Users/ken/quarg/quarg_plots/GUMO_BHZ_PDF.png,,,In Progress,,"All 3 broadband channels exceeded the 'hiAmp' threshold. This issues has been corrected in our metadata inventory and will soon be installed. However, the ticket will remain open until the station passes thresholds. NOTE: the 'badresp' metric was used for the first time this week, and it succesfully flagged this station."
54,Data Problems,II KDAK 00 BH?,2020-11-06,Completeness,Gaps,"gapsRatioGt12, avgGaps",/home/dq/quarg/quarg_plots/2020_11_30/II.KDAK.00.BH1.D_2020-11-30_num_gaps.png;;;;/home/dq/quarg/quarg_plots/2020_11_30/II.KDAK.00.BH2.D_2020-11-30_num_gaps.png;;;;/home/dq/quarg/quarg_plots/2020_11_30/II.KDAK.00.BHZ.D_2020-11-30_num_gaps.png,Plot showing large number at KDAK broadband;;;;;;;;,,Closed,,There were many gaps on all 3 channels of the broadband at KDAK on 2020-12-06
23,Data Problems,IM ADKI [01-06] CDF,2020-11-11,Completeness,Gaps,"avgGaps, gapsRatioGt12",/Users/ken/quarg/quarg_plots/2020_11_16/ADKI_01_wf.png;;;;/Users/ken/quarg/quarg_plots/2020_11_16/IM.ADKI.01.CDF.D_2020-11-16_num_gaps.png;;;;/Users/ken/quarg/quarg_plots/2020_11_16/IM.ADKI.01.CDF.D_2020-11-16_percent_availability.png,Waveform showing typical gap pattern for CDF channels.;;;;Daily number of gaps for the ADKI.01 element. Pattern in similar for all elements.;;;;Number of gaps affects percent_availability for all elements.,,In Progress,,"All elements of the ADKI array exhibit large numbers of gaps in the CDF channels for the entire reporting period. Daily number of gaps appear to spike on 2020-11-20 and 2020-11-21. These gaps continue, but metric generation for these channels will cease until they can by down-sampled."
13,Data Problems,"IM I53[C,H]5 - ?DF",2020-11-03,Completeness,Gaps,gapsRatioGt12,,,,Resolved,2020-11-05,"There were large numbers of gaps on the infrasound at I53[H,C]5 between 2020-11-3 and 2020-11-05. These gaps were likely associated with ongoing maintenance avtivity."
12,Data Problems,"IM I53[C,H][1-8] - ?DF",2020-11-03,Completeness,Gaps,gapsRatioGt12,/Users/ken/quarg/quarg_plots/2020-11-23/IM.I53H1..BDF.D_2020-11-23_percent_availability.png;;;;/Users/ken/quarg/quarg_plots/2020-11-23/IM.I53H1..BDF.D_2020-11-23_num_gaps.png,Low-data availability towards the end of the reporting period at H1. All channels of the array exhibit a similar pattern;;;;Low data availability at I53 channels were associated with a single large gap for each day,,Closed,,There were large gaps for all channels of all elements on 2020-11-27 - 2020-11-29
14,Data Problems,"IM I53[H,C]6 - ?DF",2020-11-02,Completeness,Gaps,gapsRatioGt12,/Users/ken/quarg/quarg_plots/IM.I53H6..BDF.D_2020-11-02_num_gaps.png,,,Resolved,2020-11-04,"There were large numbers of gaps in the infrasound at I53[H,C]6 between 2020-11-02 and 2020-11-04. These gaps were likely associated with ongoing maintenance activities."
16,Data Problems,IM I55H1 - BDF,2020-11-06,Completeness,Gaps,gapsRatioGt12,/Users/ken/quarg/quarg_plots/IM.I55H1..BDF.D_2020-11-02_num_gaps.png,,,Closed,2020-11-08,There were large numbers of gaps and overlaps at I55H1.BDF between 2020-11-06 and 2020-11-08. These gaps may be associated with ongoing maintenance activitites. Closing this ticket as gaps did not continue into the latest reporting period.
17,Data Problems,IM I55H2 - BDF,2020-11-06,Completeness,Gaps,gapsRatioGt12,,,,Closed,2020-11-08,There were large numbers of gaps and overlaps at IM.I55H2.BDF between 2020-11-06 and 2020-11-08. These gaps may be associated with ongoing maintenance activities. Closing this ticket as gaps did not continue into the latest reporting period.
21,Data Problems,IU PMSA 10 BH?,2020-11-02,Completeness,Gaps,gapsRatioGt12,/Users/ken/quarg/quarg_plots/IU.PMSA.10.BHZ.D_2020-11-02_num_gaps.png,,,Closed,2020-11-08,No gaps this reporting period.
22,Data Problems,US ELK 00 BH?,2020-11-02,Completeness,Gaps,gapsRatioGt12,/Users/ken/quarg/quarg_plots/ELK_comparison.png;;;;/Users/ken/quarg/quarg_plots/2020_11_16/US.ELK.00.BHZ.D_2020-11-16_num_gaps.png,Comparison of IRIS-downloaded vs WATC-downloaded waveforms for ELK.BHZ showing gaps in WATC data but not in IRIS;;;;Daily number of gaps on BHZ. Similar numbers for all components,,In Progress,,All broadband channels at US.ELK exhibit high numbers of gaps for the entire reporting period. The same data from the IRIS FDSN do not exhibit gaps. There appears to be a communication error at some point. Gaps continuing through the current reporting period.
1,Data Problems,"AV DLLH[1,2] - HDF",2020-11-08,Completeness,Gaps and Outage,"avgGaps, gapsRatioGt12",;;;;/home/dq/quarg/quarg_plots/2020_11_30/AV.DLLH1..HDF.D_2020-11-30_num_gaps.png,;;;;Plot showing numerous gaps at DLLH1 on 2020-11-30,,In Progress,,There were numerous gaps on elements 1 and 2 for the reporting period.
33,Data Problems,IM I59H[1-4] - BDF,2020-11-20,Completeness,Large gaps,gapsRatioGt12,/Users/ken/quarg/quarg_plots/2020-11-23/IM.I59H1..BDF.D_2020-11-23_percent_availability.png;;;;/Users/ken/quarg/quarg_plots/2020-11-23/IM.I59H1..BDF.D_2020-11-23_num_gaps.png,All elements experienced low availability on the 23 and 24;;;;,,Closed,,Large gaps and low data availability continued into this reporting period on all elements. There was low availability on 2020-11-23 and 2020-11-24.
35,Data Problems,IU SJG 10 BH?,2020-11-16,Completeness,Low Data Availability,gapsRatioGt12,/Users/ken/quarg/quarg_plots/2020-11-23/IU.SJG.10.BHZ.D_2020-11-23_percent_availability.png,Plot showing low availability during the 1st half of the reporting period,,Resolved,,Low availability for the San Juan broadband continued into this reporting period. Improved during the second half of the week.
9,Data Problems,IM FSAH2 M1 L??,2020-11-08,Amplitudes,Malfunctioning weather station at FSAH2.M1,,/Users/ken/quarg/quarg_plots/2020_11_16/FSAH2_met_wf.png,Waveform showing digitizer noise from the met channels,,In Progress,,Continued dead channels for the met sensor at this station.
55,Data Problems,"IM FSAH1 S1 SH[N,E]",2020-11-30,Metadata,Metada problem on shortperiod,,/home/dq/quarg/quarg_plots/2020_11_30/FSAH1_SHH_meta.png,Figure showing undefined values on the short-period seismometer inventory,,In Progress,,The orientation is undefined of the short-period seismometer
59,Data Problems,IM SJG 10 BH?,2020-11-30,Metadata,Metadata issue,,/home/dq/quarg/quarg_plots/2020_11_30/SJG_BH1_PDF.png;;;;/home/dq/quarg/quarg_plots/2020_11_30/SJG_BH2_PDF.png;;;;/home/dq/quarg/quarg_plots/2020_11_30/SJG_BHZ_PDF.png,Spectra showing probable metadata issue;;;;;;;;,,In Progress,,Metadata issue known from the start of this reporting period (but is seen in previous week). 
